DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,5555,32021,60182,22/01/2023,07:19:46,15,1,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,07:19:53,15,1,24.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,07:19:57,15,1,24.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,07:20:04,15,1,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,07:20:32,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,07:20:36,15,1,33.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,07:20:36,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,07:20:36,15,1,33.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,07:20:36,15,1,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,07:20:37,15,1,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,07:21:21,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,07:21:24,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,07:21:24,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,07:21:24,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,07:21:25,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,07:21:26,15,3,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,07:21:43,15,1,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,07:21:44,15,1,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,07:22:29,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,07:22:56,15,1,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,07:23:03,15,2,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,07:23:03,15,2,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,07:23:04,15,2,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,07:23:05,15,1,22.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,07:23:07,15,1,25.0,,,,2,,1.0,Cycle,S
