_id,SITE_XN_ROUTE,LOC_LEG,STRT_LAT,STRT_LONG,GPS,SITE_NAME,TFM_DESC,BEARING_DESC,DATA_SRC_CD,RGN_SHORT_NM,Comments
11,6596,59454,-37.87102,144.97595,[-37.870953 +144.975962],D208X6596,(BIKE PATH) BAY TRAIL N BD 100M N BLESSINGTON ST OPP NO 20 MARINE PDE,NORTH BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
12,6596,59455,-37.87105,144.97595,[-37.870953 +144.975962],D208X6596,(BIKE PATH) BAY TRAIL S BD 100M N BLESSINGTON ST OPP NO 20 MARINE PDE,SOUTH BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
13,6600,59464,-37.89091,145.123,[-37.8910519 +145.123081],D208X6600,"(BIKE PATH) SCOTCHMANS CREEK TRAIL E BD, 52M E OF 61 SMYTH ST",EAST BOUND,ACBYC,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE
14,6600,59465,-37.89091,145.12301,[-37.8910519 +145.123081],D208X6600,"(BIKE PATH) SCOTCHMANS CREEK TRAIL W BD, 52M E OF 61 SMYTH ST",WEST BOUND,ACBYC,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE
15,7584,59445,-37.79171,145.10505,[-37.7918262 +145.105324],D208X7584,(BIKE PATH) KOONUNG TRAIL NW BD 44M NE OF CLIFTON ST,NORTH WEST BOUND,ACBYC,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE
16,7584,59468,-37.79172,145.10507,[-37.7918262 +145.105324],D208X7584,(BIKE PATH) KOONUNG TRAIL SE BD 44M NE OF CLIFTON ST,SOUTH EAST BOUND,ACBYC,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE
17,7588,59450,-37.77996,144.96262,[-37.779953 +144.962511],D208X7588,(BIKE PATH) CAPITAL CITY TRAIL E BD 25M W OF BOWEN CRES,EAST BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
18,7588,59451,-37.77996,144.96258,[-37.779953 +144.962511],D208X7588,(BIKE PATH) CAPITAL CITY TRAIL W BD 25M W OF BOWEN CRES,WEST BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
19,7592,59483,-37.79391,145.03325,[-37.793676 +145.033458],D208X7592,(BIKE PATH) ANN TRAIL NO:2 NW BD 300M EAST OF PRINCESS ST,NORTH WEST BOUND,ACBYC,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE
20,7592,59484,-37.79389,145.03323,[-37.793676 +145.033458],D208X7592,(BIKE PATH) ANN TRAIL NO:2 SE BD 300M EAST OF PRINCESS ST,SOUTH EAST BOUND,ACBYC,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE
21,7596,59489,-37.80676,144.90464,[-37.806420 +144.905099],D208X7596,(BIKE PATH) MORELAND ST PATH NE BD 50 M N OF PARKER ST,NORTH EAST BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
