Fin_year,Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual,Pax_weekday,Pax_norm_weekday,Pax_sch_hol_weekday,Pax_Saturday,Pax_Sunday,Pax_pre_AM_peak,Pax_AM_peak,Pax_interpeak,Pax_PM_peak,Pax_PM_late,Bike_Path_Dist_m,total_safe_bike_path_meters,Pax_annual_norm,Pax_AM_peak_norm,Bike_Path_Dist_m_norm,Train_Line
FY24-25,19867,Upper Ferntree Gully,-37.8926717,145.3075302,180450,550,600,500,350,300,100,250,100,100,50,42.991690987754644,4572.197417609077,0.009064836888970394,0.05263157894736842,0.014890840742765154,Belgrave Line
FY24-25,19868,Ferntree Gully,-37.88169799,145.2952513,337700,1150,1200,950,500,350,150,650,200,150,50,46.49566702424372,1574.851724441849,0.017075208346068422,0.15789473684210525,0.01611677392955112,Belgrave Line
FY24-25,19869,Boronia,-37.8604518,145.2843851,462850,1500,1600,1300,800,550,200,800,350,200,50,27.71025353598943,1734.3140838742843,0.023450394278378875,0.19736842105263158,0.009544336908599635,Belgrave Line
FY24-25,19870,Bayswater,-37.84173004,145.2681364,446150,1450,1500,1300,800,550,150,700,300,300,50,16.59234783916458,4532.026220276195,0.022599690282617112,0.17105263157894737,0.005654524472852738,Belgrave Line
FY24-25,19871,Heathmont,-37.82832227,145.2445554,199600,700,700,550,250,200,50,400,100,100,50,18.550786447656755,1725.7930897599902,0.010040344764349899,0.09210526315789473,0.006339721762854515,Belgrave Line
FY24-25,19872,Highett,-37.948425,145.0418718,410950,1250,1300,1100,1000,650,100,600,300,250,50,185.65998775643152,167.49262257218368,0.020806589644843818,0.14473684210526316,0.06480607928594839,Frankston Line
FY24-25,19873,Glen Waverley,-37.87950407,145.1620575,1209700,3650,3850,2950,2900,2150,250,1600,900,800,250,16.708215444439425,1676.658794174318,0.061495201418179594,0.40789473684210525,0.0056950629757136694,Glen Waverly Line
FY24-25,19874,Syndal,-37.87622963,145.1497805,698100,2200,2350,1700,1400,1050,250,1250,350,350,50,47.53923901862404,2341.54334441842,0.035434113739633635,0.3157894736842105,0.01648188759682184,Glen Waverly Line
FY24-25,19875,Mount Waverley,-37.87525526,145.1280557,658250,2100,2250,1550,1300,950,150,1050,450,500,100,13.846086430153639,1134.5419621042415,0.03340414043238177,0.2631578947368421,0.004693692273706334,Glen Waverly Line
FY24-25,19876,Lilydale,-37.75551777,145.3477102,512300,1600,1700,1350,1050,800,200,600,400,400,50,42.7664181380768,2728.263517644297,0.02596939503229619,0.14473684210526316,0.014812024717876286,Lilydale Line
FY24-25,19877,Mooroolbark,-37.78474883,145.3124024,569250,1900,2000,1500,950,600,400,1000,350,250,50,20.87217598443911,3408.509071386382,0.02887044847892088,0.25,0.007151904392805004,Lilydale Line
FY24-25,19878,Croydon,-37.79543697,145.2805978,447350,1500,1550,1150,750,500,150,700,350,300,50,43.645200317983935,3198.9951593743085,0.02266081871345029,0.17105263157894737,0.01511948350957046,Lilydale Line
FY24-25,19879,Ringwood East,-37.811968039999996,145.2501909,268800,900,1000,650,400,250,100,500,200,150,50,14.601269732371524,1890.0118916914366,0.013565417609063308,0.11842105263157894,0.00495790762867867,Lilydale Line
FY24-25,19880,Pakenham,-38.08061397,145.4863791,495750,1550,1600,1400,1000,750,350,500,450,300,50,24.738338190280114,3627.0711104448947,0.025126332090388573,0.11842105263157894,0.00850455535396488,Pakenham Line
