Stop_name,Train_Line,Pax_annual,Pax_annual_norm,Pax_AM_peak,Pax_AM_peak_norm,Bike_Path_Dist_m,Bike_Path_Dist_m_norm
Oakleigh,Pakenham Line,1624200,0.0826099802351407,1500,0.3815789473684211,19.58699396528131,0.006702258826756894
Oakleigh,Sunbury Line,1624200,0.0826099802351407,1500,0.3815789473684211,19.58699396528131,0.006702258826756894
Hughesdale,Cranbourne Line,555350,0.02816237748843654,800,0.19736842105263158,12.446913920065711,0.004204164949234645
Hughesdale,Pakenham Line,555350,0.02816237748843654,800,0.19736842105263158,12.446913920065711,0.004204164949234645
Hughesdale,Sunbury Line,555350,0.02816237748843654,800,0.19736842105263158,12.446913920065711,0.004204164949234645
Murrumbeena,Cranbourne Line,712400,0.03616256087372904,1300,0.32894736842105265,18.453515707488187,0.006305689729748671
Murrumbeena,Pakenham Line,712400,0.03616256087372904,1300,0.32894736842105265,18.453515707488187,0.006305689729748671
Murrumbeena,Sunbury Line,712400,0.03616256087372904,1300,0.32894736842105265,18.453515707488187,0.006305689729748671
Carnegie,Cranbourne Line,1015400,0.05159748965910712,1450,0.3684210526315789,15.577904145764343,0.005299601900062776
Carnegie,Pakenham Line,1015400,0.05159748965910712,1450,0.3684210526315789,15.577904145764343,0.005299601900062776
Carnegie,Sunbury Line,1015400,0.05159748965910712,1450,0.3684210526315789,15.577904145764343,0.005299601900062776
Werribee,Werribee Line,1049600,0.053339649937852764,1650,0.42105263157894735,37.58059591326118,0.012997665401497006
Hoppers Crossing,Werribee Line,925850,0.047035780508181024,1500,0.3815789473684211,31.19711272739636,0.010764281439007602
Laverton,Werribee Line,892250,0.045324184444851964,1600,0.40789473684210525,52.39954048981243,0.01818235723738614
Aircraft,Werribee Line,248850,0.012549157446461682,350,0.07894736842105263,50.50362468140267,0.017519034747540994
Westona,Werribee Line,229400,0.011558367463373883,300,0.06578947368421052,251.06390752827542,0.08768889439633085
Altona,Werribee Line,263300,0.013285245634411231,300,0.06578947368421052,63.34984473276738,0.022013531091615066
Seaholme,Werribee Line,93100,0.004615196527905129,150,0.02631578947368421,201.74513034090475,0.07043377476763563
Westgarth,Hurstbridge Line,201950,0.010160054608064878,300,0.06578947368421052,22.810032721163747,0.007829900720419128
Dennis,Hurstbridge Line,260800,0.013157894736842105,550,0.13157894736842105,18.555282375863104,0.006341294749523423
Fairfield,Hurstbridge Line,437700,0.022169244248833465,700,0.17105263157894737,28.03339488885023,0.00965739410544391
Alphington,Hurstbridge Line,249100,0.012561892536218595,450,0.10526315789473684,37.17704678761708,0.012856476003945854
Darebin,Hurstbridge Line,112450,0.005600892475090165,200,0.039473684210526314,303.26814524338806,0.10595354770427583
Ivanhoe,Hurstbridge Line,617600,0.031333414837907775,1000,0.25,74.48816956184878,0.02591048755221202
Eaglemont,Hurstbridge Line,126500,0.006316604519428653,250,0.05263157894736842,82.86317132054928,0.028840642464364137
Heidelberg,Hurstbridge Line,822300,0.04176090633086782,1200,0.3026315789473684,7.64827951025594,0.002525270712237135
Rosanna,Hurstbridge Line,432900,0.021924730525500744,750,0.18421052631578946,24.23728435415389,0.00832925206430853
Moorabbin,Frankston Line,520000,0.026361635796809096,600,0.14473684210526316,310.23322041673333,0.10839041277257083
Patterson,Frankston Line,287550,0.014520549340831754,500,0.11842105263157894,356.9556596970666,0.12473715381328437
Bentleigh,Frankston Line,586000,0.029723699492634023,700,0.17105263157894737,33.18143589258685,0.011458534937371324
McKinnon,Frankston Line,369950,0.01871803492471015,600,0.14473684210526316,45.10831222512433,0.015631381257804593
Ormond,Frankston Line,539450,0.027352425779896897,800,0.19736842105263158,18.41505704570051,0.0062922342296784905
Glenhuntly,Unknown,641550,0.03255343643662,850,0.21052631578947367,18.536166517921966,0.006334606700176086
Caulfield,Cranbourne Line,3205100,0.16314159382195326,2350,0.6052631578947368,45.890106750855125,0.015904907059453997
Caulfield,Pakenham Line,3205100,0.16314159382195326,2350,0.6052631578947368,45.890106750855125,0.015904907059453997
Caulfield,Sunbury Line,3205100,0.16314159382195326,2350,0.6052631578947368,45.890106750855125,0.015904907059453997
Caulfield,Frankston Line,3205100,0.16314159382195326,2350,0.6052631578947368,45.890106750855125,0.015904907059453997
Malvern,Cranbourne Line,703650,0.035716832732237094,650,0.15789473684210525,82.0935095628278,0.028571361544185183
Malvern,Pakenham Line,703650,0.035716832732237094,650,0.15789473684210525,82.0935095628278,0.028571361544185183
Malvern,Sunbury Line,703650,0.035716832732237094,650,0.15789473684210525,82.0935095628278,0.028571361544185183
Malvern,Frankston Line,703650,0.035716832732237094,650,0.15789473684210525,82.0935095628278,0.028571361544185183
Armadale,Frankston Line,469600,0.023794241701815516,650,0.15789473684210525,323.27355473120303,0.11295282371271827
Toorak,Frankston Line,417900,0.021160625140085987,600,0.14473684210526316,582.5726317043335,0.20367357649584603
Hawksburn,Frankston Line,447000,0.022642989587790614,650,0.15789473684210525,174.09697767140528,0.06076053854743979
Sandringham,Sandringham Line,710850,0.03608360331723618,950,0.23684210526315788,153.38205961878407,0.053513027366482765
Hampton,Sandringham Line,482700,0.024461560405077735,750,0.18421052631578946,220.4393772503037,0.07697431541333208
Brighton Beach,Sandringham Line,332650,0.01681795953297879,450,0.10526315789473684,106.7357335165009,0.03719291598018228
Middle Brighton,Sandringham Line,512250,0.025966848014344804,550,0.13157894736842105,34.74683601798888,0.012006220179606071
North Brighton,Sandringham Line,502000,0.025444709334311387,750,0.18421052631578946,70.30506662763221,0.024446948801548584
Gardenvale,Sandringham Line,380050,0.019232532550889418,600,0.14473684210526316,27.129786934876815,0.009341249540788231
Elsternwick,Sandringham Line,763550,0.03876816023799336,1150,0.2894736842105263,63.88272866992609,0.022199970752293397
Ripponlea,Sandringham Line,465900,0.02360576237341321,800,0.19736842105263158,29.58521719191241,0.010200328886249306
Balaclava,Sandringham Line,752350,0.038197628216883675,1100,0.27631578947368424,66.04973252454634,0.02295813859180121
Windsor,Sandringham Line,586800,0.029764451779856146,750,0.18421052631578946,47.44643441212385,0.01644941812619464
Prahran,Sandringham Line,879500,0.044674694867249426,800,0.19736842105263158,85.45378355287018,0.029747017815286363
South Yarra,Pakenham Line,3199050,0.16283340464983598,2600,0.6710526315789473,69.15148847650626,0.024043347371547504
South Yarra,Frankston Line,3199050,0.16283340464983598,2600,0.6710526315789473,69.15148847650626,0.024043347371547504
South Yarra,Sandringham Line,3199050,0.16283340464983598,2600,0.6710526315789473,69.15148847650626,0.024043347371547504
Upfield,Upfield Line,264250,0.0133336389754875,250,0.05263157894736842,500.34955166336476,0.17490625574584961
Gowrie,Upfield Line,232350,0.011708641522505451,300,0.06578947368421052,394.84895059850004,0.13799484804088208
Fawkner,Upfield Line,146600,0.007340505735884426,250,0.05263157894736842,16.33964767063392,0.005566112474687776
Merlynston,Upfield Line,284100,0.01434480510218636,500,0.11842105263157894,12.065050532232908,0.004070562722767417
